Unnamed: 0,age_group,canton,cases,fatalities,sex,week,year
3327479,0 - 9,AG,0,0,1,9,2020
3327684,0 - 9,AI,0,0,1,9,2020
3327894,0 - 9,AR,0,0,1,9,2020
3328104,0 - 9,BE,0,0,1,9,2020
3328312,0 - 9,BL,0,0,1,9,2020
3328518,0 - 9,BS,0,0,1,9,2020
3328724,0 - 9,FL,0,0,1,9,2020
3328934,0 - 9,FR,0,0,1,9,2020
3329143,0 - 9,GE,0,0,1,9,2020
3329343,0 - 9,GL,0,0,1,9,2020
3212828,0 - 9,GR,2,0,1,9,2020
3329756,0 - 9,JU,0,0,1,9,2020
3329965,0 - 9,LU,0,0,1,9,2020
3330175,0 - 9,NE,0,0,1,9,2020
3330384,0 - 9,NW,0,0,1,9,2020
3330594,0 - 9,OW,0,0,1,9,2020
3330804,0 - 9,SG,0,0,1,9,2020
3331014,0 - 9,SH,0,0,1,9,2020
3331224,0 - 9,SO,0,0,1,9,2020
3331434,0 - 9,SZ,0,0,1,9,2020
3331644,0 - 9,TG,0,0,1,9,2020
3331854,0 - 9,TI,0,0,1,9,2020
3332059,0 - 9,UR,0,0,1,9,2020
3332269,0 - 9,VD,0,0,1,9,2020
3332478,0 - 9,VS,0,0,1,9,2020
3332686,0 - 9,ZG,0,0,1,9,2020
3332895,0 - 9,ZH,0,0,1,9,2020
3327500,10 - 19,AG,0,0,1,9,2020
3327705,10 - 19,AI,0,0,1,9,2020
3327915,10 - 19,AR,0,0,1,9,2020
3294497,10 - 19,BE,1,0,1,9,2020
3328333,10 - 19,BL,0,0,1,9,2020
3328539,10 - 19,BS,0,0,1,9,2020
3328745,10 - 19,FL,0,0,1,9,2020
3328955,10 - 19,FR,0,0,1,9,2020
3329164,10 - 19,GE,0,0,1,9,2020
3329364,10 - 19,GL,0,0,1,9,2020
3329573,10 - 19,GR,0,0,1,9,2020
3329777,10 - 19,JU,0,0,1,9,2020
3329986,10 - 19,LU,0,0,1,9,2020
3330196,10 - 19,NE,0,0,1,9,2020
3330405,10 - 19,NW,0,0,1,9,2020
3330615,10 - 19,OW,0,0,1,9,2020
3330825,10 - 19,SG,0,0,1,9,2020
