Date,Affoltern,Andelfingen,Bülach,Dielsdorf,Dietikon,Hinwil,Horgen,Meilen,Pfäffikon,Uster,Winterthur,Total
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-20,1,0,0,0,0,0,0,0,0,1,0,4
2020-03-27,1,1,1,0,0,0,4,2,0,3,0,10
2020-04-03,3,2,3,1,1,0,5,4,3,4,1,24
2020-04-10,4,3,5,1,4,0,6,5,3,5,4,37
2020-04-17,4,4,5,4,5,0,7,5,6,5,6,52
2020-04-24,4,4,5,4,5,0,8,5,7,5,7,59
2020-05-01,4,4,6,4,5,0,8,5,7,6,7,65
2020-05-08,4,4,6,4,6,0,8,5,7,6,7,67
2020-05-15,4,4,6,4,6,0,8,5,7,6,7,68
2020-05-22,4,4,6,4,7,0,8,5,7,7,8,68
2020-05-29,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-05,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-12,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-19,4,4,6,4,7,0,8,5,7,7,8,68
2020-06-26,4,4,6,4,7,0,8,5,7,7,8,68
2020-07-03,4,4,6,4,7,0,8,5,7,7,8,69
2020-07-10,4,4,6,4,7,0,8,7,7,7,8,69
2020-07-17,4,4,6,4,7,0,8,8,7,7,8,69
2020-07-24,4,4,6,4,7,0,9,8,7,7,8,70
2020-07-31,4,4,6,4,7,0,9,8,7,7,8,70
2020-08-07,4,4,6,4,7,0,9,8,8,7,8,71
2020-08-14,4,4,6,4,7,0,9,8,8,7,8,72
2020-08-21,4,4,6,4,7,0,9,8,8,7,9,72
2020-08-28,4,4,6,4,7,0,9,8,8,7,10,73
2020-09-04,4,4,6,4,7,0,9,8,8,7,10,73
2020-09-11,4,5,6,4,7,1,9,8,8,7,11,73
2020-09-18,4,5,6,4,7,1,9,8,8,7,11,73
2020-09-25,4,5,6,4,7,1,9,8,8,7,12,74
2020-10-02,4,5,6,4,7,1,9,8,8,7,13,74
2020-10-09,4,5,6,4,7,1,10,8,8,7,14,74
2020-10-16,4,5,8,4,8,1,10,8,8,7,14,76
2020-10-23,5,6,8,4,8,1,10,8,9,8,14,80
2020-10-30,5,9,11,4,12,7,10,8,10,10,16,88
2020-11-06,6,10,12,6,14,13,15,11,12,12,20,97
2020-11-13,6,10,15,10,15,22,22,14,16,14,29,108
2020-11-20,9,10,24,12,19,29,28,16,16,17,38,124
2020-11-27,11,11,37,15,22,37,37,17,17,18,46,143
