Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0
2020-06-02,4.0,,1.0,-3.0,0.0,0.0,0.0,131.0,0.0,0.0,-2.0,,0.0,-1.0,0.0,,9.0,,,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,-8.0
2020-06-03,,,1.0,-3.0,0.0,1.0,0.0,125.0,0.0,0.0,-2.0,20.0,0.0,-1.0,0.0,8.0,4.0,,,0.0,-10.0,,0.0,-1.0,0.0,-2.0,-36.0
2020-06-04,3.0,,1.0,-3.0,0.0,1.0,-1.0,122.0,0.0,0.0,-2.0,,0.0,-1.0,0.0,,4.0,,,0.0,-12.0,,1.0,0.0,0.0,-2.0,-41.0
2020-06-05,,,1.0,-4.0,0.0,1.0,0.0,118.0,0.0,0.0,-2.0,,1.0,-1.0,0.0,,5.0,,,0.0,-13.0,,0.0,0.0,0.0,-3.0,-46.0
2020-06-06,,,,-4.0,0.0,0.0,0.0,,,0.0,-2.0,,-1.0,-1.0,,,,,,0.0,-15.0,,-3.0,0.0,0.0,-4.0,-55.0
2020-06-07,,,,-4.0,0.0,-1.0,0.0,,,-1.0,-2.0,,-1.0,-1.0,,,,,,0.0,-16.0,,-2.0,0.0,0.0,-4.0,-57.0
2020-06-08,4.0,,0.0,-6.0,0.0,-1.0,0.0,115.0,0.0,-2.0,-2.0,5.0,0.0,-1.0,0.0,9.0,5.0,,,0.0,-17.0,,-1.0,0.0,0.0,-4.0,-76.0
2020-06-09,,,,-6.0,0.0,-1.0,-1.0,118.0,0.0,-2.0,-2.0,,0.0,-1.0,0.0,,7.0,,,0.0,-18.0,,-1.0,0.0,0.0,-5.0,-74.0
2020-06-10,,,,-5.0,0.0,-1.0,-1.0,116.0,0.0,-2.0,-2.0,8.0,0.0,-1.0,0.0,,3.0,,,0.0,-20.0,,-2.0,-1.0,1.0,-4.0,-78.0
2020-06-11,2.0,,,-5.0,0.0,-2.0,-2.0,112.0,0.0,-1.0,-2.0,,0.0,-1.0,,,1.0,,,0.0,-20.0,,-2.0,-1.0,1.0,-3.0,-86.0
2020-06-12,,,0.0,-8.0,0.0,-2.0,-1.0,113.0,0.0,-1.0,-2.0,,1.0,-1.0,,,4.0,,,0.0,-21.0,,-1.0,-1.0,1.0,-2.0,-82.0
2020-06-13,,,,-8.0,0.0,-2.0,-2.0,,,-1.0,-2.0,,1.0,-1.0,,,,,,0.0,-21.0,,-1.0,-3.0,1.0,-3.0,-86.0
2020-06-14,,,,-8.0,0.0,-2.0,-2.0,,,-1.0,-2.0,8.0,1.0,-1.0,,,,,,0.0,-22.0,,-1.0,-3.0,1.0,-2.0,-86.0
2020-06-15,,,1.0,-8.0,0.0,-2.0,-2.0,106.0,0.0,-2.0,-2.0,,1.0,-1.0,0.0,7.0,1.0,,,0.0,-24.0,,-1.0,-3.0,1.0,-2.0,-100.0
2020-06-16,,,,-8.0,0.0,-2.0,-1.0,103.0,0.0,-2.0,-2.0,,0.0,-1.0,0.0,,2.0,,,0.0,-24.0,,-3.0,-4.0,0.0,-3.0,-107.0
2020-06-17,,,,-6.0,0.0,-2.0,-2.0,,0.0,-2.0,-2.0,13.0,0.0,-1.0,0.0,,1.0,,,-1.0,-24.0,,-3.0,-3.0,0.0,-3.0,-102.0
2020-06-18,,,,-6.0,0.0,-2.0,-3.0,,0.0,-2.0,-2.0,13.0,0.0,-1.0,0.0,,2.0,,,-1.0,-24.0,,-2.0,-4.0,0.0,-1.0,-100.0
2020-06-19,,,0.0,-6.0,0.0,-2.0,-3.0,,0.0,-2.0,-3.0,9.0,3.0,-1.0,0.0,,2.0,,,-1.0,-24.0,,-2.0,-5.0,0.0,-2.0,-105.0
2020-06-20,,,,-6.0,0.0,-2.0,,,,-2.0,-3.0,,0.0,-1.0,,,,,,-1.0,-24.0,,-1.0,-4.0,0.0,-1.0,-105.0
2020-06-21,,,,-6.0,0.0,-3.0,-2.0,,,-2.0,-3.0,,0.0,-1.0,,,,,,-1.0,-24.0,,0.0,-3.0,0.0,-1.0,-103.0
2020-06-22,,,0.0,-7.0,0.0,-3.0,-2.0,,0.0,-1.0,-3.0,9.0,0.0,-1.0,0.0,,3.0,,,-1.0,-24.0,,-1.0,-4.0,0.0,0.0,-103.0
2020-06-23,,,,-7.0,0.0,-3.0,-3.0,,0.0,-1.0,-3.0,,0.0,-1.0,0.0,,2.0,,,-1.0,-24.0,,-2.0,-4.0,0.0,-1.0,-107.0
