Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,1.0
2020-02-27,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,,,,,,2.0
2020-02-28,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,,4.0,5.0,,,12.0
2020-02-29,,,,,1.0,,,3.0,,,1.0,,,,,,,,,,0.0,,4.0,5.0,0.0,,14.0
2020-03-01,,,,,1.0,,,3.0,,,1.0,,,,,,,,,,0.0,,4.0,6.0,0.0,,15.0
2020-03-02,,,,,1.0,,,3.0,,,1.0,,1.0,,,,,,,,0.0,,6.0,9.0,0.0,,21.0
2020-03-03,,,,,1.0,,,4.0,,,1.0,,1.0,,,,,,,,0.0,,8.0,11.0,0.0,,26.0
2020-03-04,,,,,1.0,,,4.0,,,1.0,,4.0,,,,,,1.0,,0.0,,11.0,12.0,0.0,,34.0
2020-03-05,,,,,1.0,1.0,,5.0,,,2.0,,4.0,,,,,,,,0.0,,14.0,10.0,0.0,,38.0
2020-03-06,,,,,4.0,1.0,,7.0,,,5.0,,2.0,,,,,,,,0.0,,15.0,11.0,0.0,,46.0
2020-03-07,,,,,4.0,1.0,,7.0,,,5.0,,2.0,,,,,,,,0.0,,16.0,11.0,0.0,,47.0
2020-03-08,,,,,4.0,1.0,,9.0,,,5.0,,3.0,,,,,,,,0.0,,22.0,15.0,0.0,,60.0
2020-03-09,,,,,4.0,1.0,,13.0,,,5.0,,4.0,,,,,,,,0.0,,29.0,16.0,0.0,,73.0
2020-03-10,,,,,5.0,1.0,,18.0,0.0,,5.0,,4.0,,,,,,,,0.0,,48.0,19.0,0.0,,101.0
2020-03-11,,,,,3.0,13.0,,20.0,0.0,,6.0,,6.0,2.0,,,,,,,0.0,,51.0,20.0,0.0,,122.0
2020-03-12,1.0,,,,9.0,13.0,,23.0,0.0,,6.0,,6.0,5.0,,,,,,,0.0,,55.0,27.0,0.0,,146.0
2020-03-13,,,,,12.0,13.0,,33.0,0.0,,8.0,,9.0,6.0,,,,,,,0.0,,61.0,29.0,0.0,,173.0
2020-03-14,,,,,8.0,13.0,,43.0,0.0,,8.0,,10.0,6.0,,,,,,,77.0,,75.0,33.0,0.0,,275.0
2020-03-15,,,,,12.0,,,46.0,0.0,,9.0,,9.0,6.0,,,,,,,92.0,,90.0,35.0,0.0,,314.0
2020-03-16,2.0,,,,17.0,13.0,,66.0,0.0,,9.0,,13.0,7.0,,,,,,,112.0,,126.0,41.0,0.0,,407.0
2020-03-17,2.0,,,,26.0,30.0,,75.0,0.0,9.0,11.0,,16.0,6.0,,,,,,,137.0,,140.0,46.0,0.0,,499.0
2020-03-18,6.0,,3.0,,27.0,40.0,11.0,78.0,0.0,13.0,11.0,,18.0,6.0,,,,,,,163.0,,153.0,58.0,0.0,,588.0
2020-03-19,17.0,1.0,,,19.0,40.0,12.0,92.0,0.0,18.0,12.0,,19.0,5.0,,,,,,,182.0,,170.0,64.0,1.0,60.0,716.0
2020-03-20,25.0,,,,27.0,45.0,20.0,109.0,0.0,24.0,14.0,,21.0,5.0,,,,,,,190.0,,182.0,73.0,1.0,78.0,819.0
2020-03-21,,,,,30.0,46.0,28.0,145.0,0.0,24.0,13.0,,20.0,5.0,,,,,,,224.0,,211.0,83.0,3.0,83.0,945.0
2020-03-22,,,,,40.0,50.0,32.0,179.0,0.0,27.0,18.0,,28.0,5.0,,,,,,,246.0,,231.0,92.0,3.0,110.0,1091.0
2020-03-23,10.0,,7.0,,51.0,56.0,35.0,214.0,3.0,29.0,18.0,,33.0,5.0,,,,,,,261.0,1.0,248.0,104.0,3.0,127.0,1207.0
2020-03-24,24.0,,6.0,,66.0,58.0,35.0,238.0,3.0,43.0,22.0,,32.0,4.0,,,,,,,285.0,1.0,284.0,117.0,6.0,138.0,1364.0
2020-03-25,16.0,,,,68.0,58.0,39.0,258.0,2.0,45.0,23.0,,41.0,3.0,,,10.0,,,,306.0,,312.0,118.0,9.0,146.0,1463.0
2020-03-26,38.0,,,,68.0,74.0,44.0,272.0,2.0,52.0,22.0,,42.0,2.0,,,6.0,,,,358.0,4.0,323.0,128.0,10.0,156.0,1609.0
2020-03-27,50.0,,,,79.0,76.0,50.0,313.0,3.0,58.0,25.0,,45.0,3.0,,,10.0,,,,386.0,7.0,356.0,137.0,12.0,171.0,1789.0
2020-03-28,,,,,75.0,79.0,67.0,339.0,3.0,63.0,27.0,,50.0,4.0,,,14.0,,,,385.0,7.0,364.0,142.0,12.0,187.0,1876.0
2020-03-29,,,,,99.0,87.0,76.0,365.0,2.0,63.0,28.0,,60.0,4.0,,,15.0,,,,402.0,7.0,366.0,152.0,12.0,194.0,1990.0
2020-03-30,94.0,,,112.0,86.0,90.0,77.0,382.0,3.0,58.0,28.0,,57.0,8.0,,,19.0,,,,415.0,7.0,368.0,152.0,13.0,197.0,2174.0
2020-03-31,85.0,,,111.0,88.0,105.0,77.0,405.0,5.0,58.0,29.0,,59.0,7.0,,,18.0,,,,401.0,9.0,376.0,151.0,14.0,196.0,2202.0
2020-04-01,94.0,,,115.0,86.0,108.0,81.0,406.0,5.0,59.0,29.0,57.0,66.0,9.0,,,10.0,,,,396.0,10.0,381.0,145.0,13.0,203.0,2281.0
2020-04-02,94.0,,,104.0,81.0,119.0,80.0,424.0,5.0,60.0,29.0,66.0,61.0,9.0,,64.0,18.0,14.0,,,374.0,4.0,372.0,145.0,14.0,200.0,2345.0
2020-04-03,100.0,,,109.0,82.0,115.0,77.0,424.0,5.0,51.0,28.0,49.0,61.0,10.0,,75.0,9.0,17.0,,,370.0,6.0,364.0,145.0,15.0,207.0,2327.0
2020-04-04,,,,113.0,73.0,112.0,89.0,421.0,5.0,52.0,27.0,49.0,59.0,10.0,,79.0,12.0,,,,363.0,6.0,364.0,148.0,14.0,194.0,2315.0
2020-04-05,,,,110.0,73.0,106.0,87.0,424.0,5.0,49.0,29.0,49.0,58.0,9.0,,70.0,12.0,16.0,,,362.0,5.0,375.0,145.0,14.0,194.0,2300.0
2020-04-06,82.0,,,117.0,67.0,99.0,87.0,418.0,2.0,52.0,27.0,61.0,59.0,11.0,,70.0,15.0,26.0,,34.0,357.0,9.0,360.0,132.0,14.0,198.0,2305.0
2020-04-07,84.0,,,122.0,66.0,101.0,78.0,412.0,2.0,49.0,28.0,57.0,64.0,9.0,2.0,65.0,14.0,29.0,,33.0,335.0,7.0,333.0,129.0,15.0,181.0,2223.0
2020-04-08,79.0,,,127.0,65.0,99.0,80.0,402.0,2.0,38.0,31.0,,63.0,9.0,2.0,52.0,15.0,22.0,,30.0,319.0,5.0,324.0,122.0,12.0,170.0,2133.0
2020-04-09,87.0,,,117.0,62.0,93.0,80.0,393.0,2.0,39.0,28.0,62.0,58.0,9.0,1.0,52.0,17.0,23.0,,27.0,301.0,4.0,307.0,117.0,13.0,165.0,2065.0
2020-04-10,,,,107.0,54.0,87.0,73.0,379.0,2.0,35.0,25.0,69.0,63.0,7.0,,60.0,13.0,22.0,,32.0,297.0,4.0,298.0,115.0,15.0,152.0,2005.0
2020-04-11,76.0,,,99.0,50.0,,68.0,364.0,2.0,35.0,23.0,,64.0,8.0,,60.0,13.0,,,32.0,282.0,8.0,284.0,112.0,14.0,149.0,1930.0
2020-04-12,,,,95.0,48.0,86.0,65.0,363.0,2.0,35.0,22.0,60.0,67.0,7.0,,58.0,16.0,23.0,,32.0,269.0,5.0,293.0,110.0,13.0,153.0,1907.0
