Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,,,,1.0,0.0,3.0,3.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,0.0,1.0,,8.0,5.0,0.0,,32.0
2020-06-01,,,,1.0,0.0,3.0,3.0,0.0,,1.0,1.0,,0.0,0.0,,,,,,0.0,1.0,,8.0,3.0,0.0,,30.0
2020-06-02,1.0,,0.0,0.0,0.0,3.0,3.0,1.0,,1.0,0.0,,0.0,0.0,,,1.0,,,0.0,1.0,,7.0,3.0,0.0,,27.0
2020-06-03,1.0,,0.0,0.0,0.0,3.0,3.0,1.0,,1.0,0.0,5.0,0.0,0.0,,2.0,1.0,,,0.0,1.0,,7.0,3.0,0.0,,28.0
2020-06-04,2.0,,0.0,0.0,0.0,3.0,3.0,1.0,,1.0,0.0,,0.0,0.0,,,1.0,,,0.0,1.0,,7.0,3.0,0.0,,29.0
2020-06-05,1.0,,0.0,0.0,0.0,3.0,2.0,1.0,,1.0,0.0,,1.0,0.0,,,1.0,,,0.0,1.0,,7.0,3.0,0.0,,28.0
2020-06-06,,,,0.0,0.0,3.0,2.0,,,1.0,0.0,,0.0,0.0,,,,,,0.0,1.0,,7.0,3.0,0.0,,27.0
2020-06-07,,,,0.0,0.0,3.0,2.0,,,1.0,0.0,,0.0,0.0,,,,,,0.0,2.0,,7.0,3.0,0.0,,28.0
2020-06-08,1.0,,0.0,0.0,0.0,3.0,2.0,1.0,,0.0,0.0,3.0,0.0,0.0,,2.0,1.0,,,0.0,2.0,,6.0,3.0,0.0,,24.0
2020-06-09,1.0,,,0.0,0.0,3.0,1.0,1.0,,0.0,0.0,,0.0,0.0,,,1.0,,,0.0,1.0,,6.0,3.0,0.0,,22.0
2020-06-10,1.0,,,0.0,0.0,3.0,1.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,1.0,,,0.0,0.0,,5.0,3.0,0.0,,19.0
2020-06-11,1.0,,,0.0,0.0,2.0,1.0,1.0,,0.0,0.0,,1.0,0.0,,,0.0,,,0.0,0.0,,4.0,3.0,0.0,,17.0
2020-06-12,1.0,,0.0,0.0,0.0,2.0,1.0,1.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,3.0,0.0,,16.0
2020-06-13,,,,0.0,0.0,2.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,4.0,2.0,0.0,,15.0
2020-06-14,,,,0.0,0.0,2.0,1.0,,,0.0,0.0,2.0,0.0,0.0,,,,,,0.0,0.0,,4.0,2.0,0.0,,15.0
2020-06-15,1.0,,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,0.0,,,0.0,0.0,,4.0,2.0,0.0,,14.0
2020-06-16,1.0,,,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,2.0,0.0,,14.0
2020-06-17,1.0,,,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,13.0
2020-06-18,1.0,,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,12.0
2020-06-19,1.0,,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.0,2.0,1.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,14.0
2020-06-20,,,,0.0,0.0,2.0,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,4.0,1.0,0.0,,13.0
2020-06-21,,,,0.0,0.0,1.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,4.0,1.0,0.0,,12.0
2020-06-22,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,11.0
2020-06-23,0.0,,,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,12.0
2020-06-24,0.0,,,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,0.0,0.0,,3.0,0.0,,,0.0,0.0,,3.0,1.0,0.0,,11.0
2020-06-25,0.0,,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,3.0,1.0,0.0,,11.0
2020-06-26,1.0,,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,3.0,1.0,0.0,,12.0
2020-06-27,,,,0.0,0.0,1.0,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,3.0,1.0,0.0,,12.0
2020-06-28,,,,0.0,0.0,1.0,,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,3.0,1.0,0.0,,12.0
2020-06-29,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,2.0,0.0,,13.0
2020-06-30,1.0,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,2.0,0.0,,12.0
2020-07-01,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,2.0,0.0,,13.0
2020-07-02,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,12.0
2020-07-03,0.0,,,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,0.0,0.0,,4.0,1.0,0.0,,13.0
2020-07-04,,,,1.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,4.0,2.0,0.0,,14.0
2020-07-05,,,,1.0,0.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,,4.0,2.0,0.0,,15.0
2020-07-06,1.0,,0.0,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,1.0,0.0,,2.0,1.0,0.0,,15.0
2020-07-07,1.0,,0.0,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,,,1.0,0.0,,2.0,1.0,0.0,,15.0
2020-07-08,1.0,,,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,1.0,0.0,,2.0,1.0,0.0,,15.0
2020-07-09,1.0,,0.0,,0.0,1.0,1.0,2.0,,0.0,0.0,,0.0,0.0,,,0.0,,,1.0,0.0,,2.0,1.0,0.0,,15.0
2020-07-10,1.0,,0.0,1.0,1.0,1.0,1.0,2.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,1.0,0.0,,2.0,2.0,0.0,,17.0
2020-07-11,,,,,0.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,1.0,0.0,,2.0,2.0,0.0,,16.0
2020-07-12,,,,,0.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,1.0,1.0,,2.0,2.0,0.0,,17.0
2020-07-13,1.0,,0.0,2.0,0.0,1.0,1.0,1.0,,0.0,0.0,2.0,0.0,0.0,,,0.0,,,1.0,1.0,,2.0,2.0,0.0,,17.0
2020-07-14,1.0,,1.0,,0.0,1.0,1.0,0.0,,0.0,0.0,3.0,0.0,0.0,,,0.0,,,1.0,1.0,,2.0,1.0,0.0,,17.0
2020-07-15,1.0,,,2.0,0.0,2.0,1.0,0.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,,,1.0,1.0,,2.0,1.0,0.0,,19.0
2020-07-16,1.0,,0.0,,0.0,2.0,1.0,0.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,,,1.0,2.0,,2.0,1.0,0.0,,19.0
2020-07-17,1.0,,0.0,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,,,1.0,2.0,,5.0,2.0,0.0,,24.0
2020-07-18,,,,,0.0,2.0,1.0,,,0.0,0.0,4.0,0.0,0.0,,,,,,1.0,,,5.0,2.0,0.0,,24.0
2020-07-19,,,,,0.0,2.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,5.0,2.0,0.0,,24.0
2020-07-20,1.0,,0.0,4.0,0.0,3.0,1.0,0.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,,,1.0,2.0,,5.0,2.0,0.0,,26.0
2020-07-21,1.0,,0.0,,0.0,3.0,1.0,0.0,,0.0,0.0,4.0,0.0,0.0,,,0.0,,,1.0,1.0,,5.0,1.0,1.0,,25.0
2020-07-22,1.0,,,3.0,0.0,3.0,1.0,0.0,,0.0,0.0,3.0,0.0,0.0,,,0.0,,,1.0,1.0,,5.0,1.0,0.0,,22.0
2020-07-23,1.0,,1.0,,0.0,2.0,1.0,1.0,,0.0,0.0,3.0,0.0,0.0,,,0.0,,,0.0,1.0,,5.0,1.0,0.0,,22.0
2020-07-24,1.0,,0.0,2.0,0.0,2.0,1.0,1.0,,0.0,0.0,3.0,0.0,0.0,,,1.0,,,0.0,1.0,,5.0,1.0,0.0,,21.0
2020-07-25,,,,,0.0,2.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,5.0,1.0,0.0,,21.0
2020-07-26,,,,,0.0,2.0,1.0,,,0.0,0.0,3.0,0.0,0.0,,,,,,0.0,,,5.0,1.0,0.0,,21.0
2020-07-27,2.0,,0.0,2.0,0.0,2.0,1.0,1.0,,0.0,0.0,3.0,0.0,0.0,,,1.0,,,0.0,1.0,,4.0,1.0,0.0,,21.0
2020-07-28,2.0,,0.0,,0.0,2.0,1.0,1.0,,0.0,0.0,4.0,0.0,0.0,,,1.0,,,0.0,1.0,,4.0,1.0,0.0,,22.0
2020-07-29,3.0,,0.0,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,3.0,0.0,0.0,,,1.0,,,0.0,0.0,,5.0,1.0,0.0,,21.0
2020-07-30,3.0,,0.0,,1.0,0.0,1.0,1.0,,0.0,0.0,5.0,0.0,0.0,,,1.0,,,0.0,1.0,,5.0,1.0,0.0,,24.0
2020-07-31,3.0,,0.0,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,5.0,0.0,0.0,,,2.0,,,0.0,1.0,,5.0,1.0,0.0,,25.0
2020-08-01,,,,,1.0,1.0,1.0,,,0.0,0.0,8.0,0.0,0.0,,,,,,0.0,,,4.0,1.0,0.0,,28.0
2020-08-02,,,,,1.0,1.0,1.0,,,0.0,0.0,,0.0,0.0,,,,,,0.0,,,5.0,1.0,0.0,,29.0
2020-08-03,5.0,,0.0,3.0,1.0,1.0,2.0,1.0,,0.0,0.0,8.0,0.0,0.0,,,2.0,,,0.0,0.0,,5.0,1.0,0.0,,32.0
2020-08-04,6.0,,0.0,,1.0,1.0,1.0,1.0,,0.0,0.0,5.0,0.0,0.0,,,2.0,,,0.0,0.0,,5.0,1.0,0.0,,29.0
2020-08-05,5.0,,0.0,3.0,0.0,1.0,1.0,1.0,,0.0,0.0,5.0,0.0,0.0,,,2.0,,,0.0,0.0,,5.0,1.0,0.0,,27.0
2020-08-06,4.0,,0.0,,0.0,0.0,1.0,2.0,,0.0,0.0,5.0,0.0,0.0,,,2.0,,,0.0,0.0,,4.0,1.0,0.0,,25.0
