Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-05-31,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-01,,,,1.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-02,1.0,,,0.0,0.0,,,0.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,0.0,5.0
2020-06-03,,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,7.0
2020-06-04,2.0,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,8.0
2020-06-05,,,,0.0,0.0,,,1.0,,1.0,,,0.0,,,,,,,,1.0,,,2.0,,1.0,8.0
2020-06-06,,,,0.0,0.0,,,,,1.0,,,0.0,,,,,,,,0.0,,,2.0,,1.0,7.0
2020-06-07,,,,0.0,0.0,,,,,1.0,,,0.0,,,,,,,,0.0,,,2.0,,1.0,7.0
2020-06-08,1.0,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-09,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-10,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,2.0,,0.0,4.0
2020-06-11,1.0,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,1.0,,0.0,3.0
2020-06-12,,,,0.0,0.0,,,1.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-13,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-14,,,,0.0,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,2.0
2020-06-15,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-16,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-17,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
2020-06-18,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,0.0,1.0
