,Kanton,Population,age_group,canton,sex
0,AG,36900,0 - 9,,männlich
1,AG,34586,0 - 9,,weiblich
2,AG,34812,10 - 19,,männlich
3,AG,32511,10 - 19,,weiblich
4,AG,41763,20 - 29,,männlich
5,AG,39481,20 - 29,,weiblich
6,AG,49774,30 - 39,,männlich
7,AG,47594,30 - 39,,weiblich
8,AG,48209,40 - 49,,männlich
9,AG,46693,40 - 49,,weiblich
10,AG,54493,50 - 59,,männlich
11,AG,52471,50 - 59,,weiblich
12,AG,39282,60 - 69,,männlich
13,AG,39879,60 - 69,,weiblich
14,AG,26773,70 - 79,,männlich
15,AG,28803,70 - 79,,weiblich
16,AG,12727,80+,,männlich
17,AG,19094,80+,,weiblich
18,AI,901,0 - 9,,männlich
19,AI,862,0 - 9,,weiblich
20,AI,842,10 - 19,,männlich
21,AI,800,10 - 19,,weiblich
22,AI,1143,20 - 29,,männlich
23,AI,961,20 - 29,,weiblich
24,AI,1052,30 - 39,,männlich
25,AI,956,30 - 39,,weiblich
26,AI,1033,40 - 49,,männlich
27,AI,969,40 - 49,,weiblich
28,AI,1244,50 - 59,,männlich
29,AI,1197,50 - 59,,weiblich
30,AI,999,60 - 69,,männlich
31,AI,885,60 - 69,,weiblich
32,AI,686,70 - 79,,männlich
33,AI,646,70 - 79,,weiblich
34,AI,403,80+,,männlich
35,AI,549,80+,,weiblich
36,AR,3029,0 - 9,,männlich
37,AR,2915,0 - 9,,weiblich
38,AR,2703,10 - 19,,männlich
39,AR,2551,10 - 19,,weiblich
40,AR,3435,20 - 29,,männlich
41,AR,2883,20 - 29,,weiblich
42,AR,3601,30 - 39,,männlich
43,AR,3531,30 - 39,,weiblich
44,AR,3617,40 - 49,,männlich
45,AR,3458,40 - 49,,weiblich
46,AR,4452,50 - 59,,männlich
47,AR,4402,50 - 59,,weiblich
48,AR,3562,60 - 69,,männlich
49,AR,3468,60 - 69,,weiblich
50,AR,2399,70 - 79,,männlich
51,AR,2468,70 - 79,,weiblich
52,AR,1140,80+,,männlich
53,AR,1831,80+,,weiblich
54,BE,51909,0 - 9,,männlich
55,BE,49378,0 - 9,,weiblich
56,BE,49502,10 - 19,,männlich
57,BE,46952,10 - 19,,weiblich
58,BE,60700,20 - 29,,männlich
59,BE,59110,20 - 29,,weiblich
60,BE,70513,30 - 39,,männlich
61,BE,70935,30 - 39,,weiblich
62,BE,68953,40 - 49,,männlich
63,BE,68755,40 - 49,,weiblich
64,BE,77975,50 - 59,,männlich
65,BE,78626,50 - 59,,weiblich
66,BE,61345,60 - 69,,männlich
67,BE,64225,60 - 69,,weiblich
68,BE,46209,70 - 79,,männlich
69,BE,52857,70 - 79,,weiblich
70,BE,23064,80+,,männlich
