Canton,Date,Time
AG,2020-07-23,08:00
AI,2020-07-22,08:00
AR,2020-07-23,08:05
BE,2020-07-23,08:00
BL,2020-07-23,00:00
BS,2020-07-23,09:00
FR,2020-07-23,00:00
GE,2020-07-20,00:00
GL,2020-07-23,12:00
GR,2020-07-23,00:00
JU,2020-07-23,00:00
LU,2020-07-23,00:00
NE,2020-07-20,00:00
NW,2020-07-23,00:00
OW,2020-07-23,00:00
SG,2020-07-24,00:00
SH,2020-07-23,09:30
SO,2020-07-23,01:00
SZ,2020-07-24,10:00
TG,2020-07-23,10:00
TI,2020-07-23,08:00
UR,2020-07-23,16:30
VD,2020-07-22,00:00
VS,2020-07-23,00:00
ZG,2020-07-23,08:00
ZH,2020-07-23,14:30
