index,country,canton,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
75834,Switzerland,AG,2020-02-15,1.0,1.0,27.0,10.0,-1.0,-1.0
75835,Switzerland,AG,2020-02-16,9.0,10.0,27.0,12.0,-2.0,0.0
75836,Switzerland,AG,2020-02-17,-3.0,-2.0,-5.0,4.0,0.0,2.0
75837,Switzerland,AG,2020-02-18,2.0,2.0,18.0,4.0,0.0,0.0
75838,Switzerland,AG,2020-02-19,-3.0,-1.0,-10.0,-2.0,0.0,1.0
75839,Switzerland,AG,2020-02-20,5.0,-1.0,27.0,9.0,-1.0,-1.0
75840,Switzerland,AG,2020-02-21,-2.0,0.0,16.0,2.0,-1.0,1.0
75841,Switzerland,AG,2020-02-22,3.0,0.0,65.0,22.0,-1.0,-1.0
75842,Switzerland,AG,2020-02-23,21.0,25.0,4.0,26.0,0.0,-1.0
75843,Switzerland,AG,2020-02-24,5.0,2.0,66.0,10.0,-1.0,0.0
75844,Switzerland,AG,2020-02-25,2.0,5.0,-9.0,2.0,-2.0,1.0
75845,Switzerland,AG,2020-02-26,-2.0,5.0,-16.0,-4.0,0.0,1.0
75846,Switzerland,AG,2020-02-27,-1.0,4.0,-23.0,0.0,0.0,2.0
75847,Switzerland,AG,2020-02-28,0.0,10.0,16.0,2.0,0.0,1.0
75848,Switzerland,AG,2020-02-29,0.0,5.0,1.0,3.0,0.0,2.0
75849,Switzerland,AG,2020-03-01,9.0,9.0,43.0,11.0,-3.0,0.0
75850,Switzerland,AG,2020-03-02,-2.0,0.0,-5.0,0.0,-2.0,3.0
75851,Switzerland,AG,2020-03-03,2.0,3.0,17.0,-2.0,-1.0,2.0
75852,Switzerland,AG,2020-03-04,0.0,2.0,19.0,1.0,-1.0,1.0
75853,Switzerland,AG,2020-03-05,-5.0,-5.0,-28.0,-5.0,-1.0,3.0
75854,Switzerland,AG,2020-03-06,-6.0,-2.0,-18.0,-5.0,-2.0,3.0
75855,Switzerland,AG,2020-03-07,1.0,1.0,10.0,0.0,-2.0,2.0
75856,Switzerland,AG,2020-03-08,11.0,3.0,50.0,10.0,-4.0,0.0
75857,Switzerland,AG,2020-03-09,-3.0,-3.0,-5.0,0.0,-1.0,3.0
75858,Switzerland,AG,2020-03-10,-6.0,0.0,-15.0,-7.0,-3.0,3.0
75859,Switzerland,AG,2020-03-11,-2.0,3.0,27.0,-2.0,-2.0,2.0
75860,Switzerland,AG,2020-03-12,-2.0,7.0,8.0,-5.0,-4.0,3.0
75861,Switzerland,AG,2020-03-13,-5.0,24.0,29.0,-7.0,-4.0,4.0
75862,Switzerland,AG,2020-03-14,-15.0,13.0,25.0,-14.0,-4.0,7.0
75863,Switzerland,AG,2020-03-15,-9.0,15.0,118.0,3.0,-9.0,3.0
75864,Switzerland,AG,2020-03-16,5.0,33.0,69.0,-19.0,-15.0,8.0
75865,Switzerland,AG,2020-03-17,-47.0,7.0,66.0,-37.0,-27.0,14.0
75866,Switzerland,AG,2020-03-18,-52.0,5.0,85.0,-38.0,-31.0,16.0
75867,Switzerland,AG,2020-03-19,-52.0,5.0,67.0,-42.0,-34.0,18.0
75868,Switzerland,AG,2020-03-20,-60.0,5.0,39.0,-47.0,-34.0,21.0
75869,Switzerland,AG,2020-03-21,-74.0,-21.0,1.0,-54.0,-37.0,18.0
75870,Switzerland,AG,2020-03-22,-74.0,-36.0,7.0,-53.0,-38.0,13.0
75871,Switzerland,AG,2020-03-23,-60.0,-12.0,42.0,-48.0,-37.0,19.0
75872,Switzerland,AG,2020-03-24,-61.0,-13.0,42.0,-51.0,-40.0,21.0
75873,Switzerland,AG,2020-03-25,-61.0,-10.0,40.0,-50.0,-40.0,20.0
75874,Switzerland,AG,2020-03-26,-60.0,-8.0,24.0,-51.0,-41.0,22.0
75875,Switzerland,AG,2020-03-27,-61.0,-4.0,66.0,-48.0,-40.0,23.0
75876,Switzerland,AG,2020-03-28,-68.0,-12.0,125.0,-38.0,-35.0,15.0
75877,Switzerland,AG,2020-03-29,-75.0,-35.0,-14.0,-56.0,-41.0,13.0
75878,Switzerland,AG,2020-03-30,-61.0,-12.0,2.0,-48.0,-39.0,20.0
75879,Switzerland,AG,2020-03-31,-80.0,7.0,58.0,-44.0,-41.0,20.0
75880,Switzerland,AG,2020-04-01,-80.0,6.0,79.0,-42.0,-40.0,19.0
75881,Switzerland,AG,2020-04-02,-80.0,7.0,63.0,-42.0,-41.0,20.0
75882,Switzerland,AG,2020-04-03,-75.0,9.0,62.0,-44.0,-39.0,22.0
75883,Switzerland,AG,2020-04-04,-80.0,2.0,99.0,-36.0,-35.0,16.0
75884,Switzerland,AG,2020-04-05,-72.0,4.0,108.0,-30.0,-38.0,10.0
75885,Switzerland,AG,2020-04-06,-71.0,6.0,92.0,-38.0,-41.0,19.0
75886,Switzerland,AG,2020-04-07,-66.0,12.0,,-42.0,-42.0,19.0
75887,Switzerland,AG,2020-04-08,-65.0,28.0,92.0,-42.0,-41.0,18.0
75888,Switzerland,AG,2020-04-09,-61.0,48.0,78.0,-39.0,-44.0,18.0
75889,Switzerland,AG,2020-04-10,-87.0,-84.0,,-59.0,-87.0,35.0
75890,Switzerland,AG,2020-04-11,-74.0,19.0,99.0,-32.0,-36.0,15.0
75891,Switzerland,AG,2020-04-12,-71.0,,91.0,-34.0,-34.0,9.0
75892,Switzerland,AG,2020-04-13,-84.0,-81.0,,-56.0,-87.0,31.0
75893,Switzerland,AG,2020-04-14,-67.0,6.0,68.0,-43.0,-41.0,19.0
75894,Switzerland,AG,2020-04-15,-68.0,-3.0,98.0,-42.0,-39.0,18.0
75895,Switzerland,AG,2020-04-16,-63.0,-4.0,83.0,-42.0,-40.0,19.0
75896,Switzerland,AG,2020-04-17,-66.0,-1.0,104.0,-41.0,-38.0,20.0
75897,Switzerland,AG,2020-04-18,-72.0,-7.0,114.0,-31.0,-29.0,14.0
75898,Switzerland,AG,2020-04-19,-65.0,,105.0,-27.0,-31.0,9.0
75899,Switzerland,AG,2020-04-20,-62.0,-12.0,74.0,-40.0,-36.0,18.0
75900,Switzerland,AG,2020-04-21,-64.0,-7.0,75.0,-43.0,-36.0,18.0
75901,Switzerland,AG,2020-04-22,-64.0,-6.0,107.0,-40.0,-35.0,17.0
75902,Switzerland,AG,2020-04-23,-62.0,-4.0,91.0,-39.0,-36.0,18.0
75903,Switzerland,AG,2020-04-24,-64.0,5.0,95.0,-38.0,-35.0,19.0
75904,Switzerland,AG,2020-04-25,-69.0,-3.0,117.0,-26.0,-26.0,13.0
75905,Switzerland,AG,2020-04-26,-62.0,,95.0,-24.0,-29.0,9.0
75906,Switzerland,AG,2020-04-27,-50.0,-1.0,96.0,-27.0,-31.0,15.0
75907,Switzerland,AG,2020-04-28,-56.0,0.0,2.0,-39.0,-34.0,16.0
75908,Switzerland,AG,2020-04-29,-57.0,2.0,28.0,-35.0,-32.0,16.0
75909,Switzerland,AG,2020-04-30,-49.0,6.0,-17.0,-39.0,-33.0,17.0
75910,Switzerland,AG,2020-05-01,-53.0,0.0,11.0,-44.0,-52.0,25.0
75911,Switzerland,AG,2020-05-02,-59.0,0.0,-4.0,-31.0,-25.0,14.0
75912,Switzerland,AG,2020-05-03,-58.0,,95.0,-18.0,-24.0,8.0
75913,Switzerland,AG,2020-05-04,-45.0,-5.0,77.0,-29.0,-29.0,14.0
75914,Switzerland,AG,2020-05-05,-51.0,-3.0,2.0,-40.0,-32.0,17.0
75915,Switzerland,AG,2020-05-06,-49.0,3.0,58.0,-30.0,-30.0,14.0
75916,Switzerland,AG,2020-05-07,-40.0,4.0,87.0,-31.0,-30.0,14.0
75917,Switzerland,AG,2020-05-08,-43.0,9.0,91.0,-32.0,-28.0,15.0
75918,Switzerland,AG,2020-05-09,-46.0,9.0,114.0,-18.0,-15.0,9.0
75919,Switzerland,AG,2020-05-10,-47.0,20.0,78.0,-12.0,-14.0,6.0
75920,Switzerland,AG,2020-05-11,-21.0,4.0,-1.0,-24.0,-22.0,13.0
75921,Switzerland,AG,2020-05-12,-20.0,9.0,48.0,-23.0,-23.0,12.0
75922,Switzerland,AG,2020-05-13,-26.0,5.0,-11.0,-25.0,-23.0,12.0
75923,Switzerland,AG,2020-05-14,-24.0,9.0,1.0,-25.0,-23.0,12.0
75924,Switzerland,AG,2020-05-15,-24.0,11.0,26.0,-22.0,-21.0,13.0
75925,Switzerland,AG,2020-05-16,-20.0,7.0,86.0,-2.0,-7.0,8.0
75926,Switzerland,AG,2020-05-17,-27.0,25.0,135.0,-2.0,-11.0,5.0
75927,Switzerland,AG,2020-05-18,-15.0,7.0,82.0,-14.0,-21.0,10.0
75928,Switzerland,AG,2020-05-19,-15.0,13.0,,-18.0,-22.0,10.0
75929,Switzerland,AG,2020-05-20,-2.0,44.0,28.0,-13.0,-22.0,7.0
75930,Switzerland,AG,2020-05-21,-58.0,-72.0,169.0,-31.0,-83.0,23.0
75931,Switzerland,AG,2020-05-22,-4.0,24.0,50.0,-25.0,-52.0,16.0
75932,Switzerland,AG,2020-05-23,-22.0,-3.0,-42.0,-30.0,-12.0,10.0
75933,Switzerland,AG,2020-05-24,-24.0,10.0,37.0,-2.0,-10.0,4.0
75934,Switzerland,AG,2020-05-25,-5.0,10.0,15.0,-16.0,-21.0,9.0
75935,Switzerland,AG,2020-05-26,-7.0,12.0,34.0,-18.0,-20.0,9.0
75936,Switzerland,AG,2020-05-27,-8.0,11.0,25.0,-16.0,-20.0,8.0
75937,Switzerland,AG,2020-05-28,-7.0,15.0,3.0,-16.0,-20.0,9.0
75938,Switzerland,AG,2020-05-29,-9.0,18.0,16.0,-15.0,-20.0,9.0
75939,Switzerland,AG,2020-05-30,-10.0,12.0,38.0,-3.0,1.0,4.0
75940,Switzerland,AG,2020-05-31,-15.0,28.0,75.0,10.0,-4.0,1.0
75941,Switzerland,AG,2020-06-01,-54.0,-73.0,,-27.0,-81.0,20.0
75942,Switzerland,AG,2020-06-02,-8.0,23.0,31.0,-15.0,-18.0,7.0
75943,Switzerland,AG,2020-06-03,-11.0,12.0,15.0,-16.0,-18.0,8.0
75944,Switzerland,AG,2020-06-04,-11.0,9.0,-30.0,-21.0,-19.0,10.0
75945,Switzerland,AG,2020-06-05,-11.0,10.0,-25.0,-23.0,-17.0,10.0
75946,Switzerland,AG,2020-06-06,-4.0,8.0,-9.0,-10.0,0.0,6.0
75947,Switzerland,AG,2020-06-07,-29.0,-1.0,-21.0,-18.0,-7.0,7.0
75948,Switzerland,AG,2020-06-08,-6.0,3.0,6.0,-13.0,-17.0,8.0
75949,Switzerland,AG,2020-06-09,-7.0,6.0,-14.0,-19.0,-18.0,8.0
75950,Switzerland,AG,2020-06-10,-5.0,15.0,-15.0,-15.0,-17.0,7.0
75951,Switzerland,AG,2020-06-11,-13.0,-21.0,43.0,-20.0,-41.0,13.0
75952,Switzerland,AG,2020-06-12,-7.0,12.0,55.0,-12.0,-26.0,7.0
75953,Switzerland,AG,2020-06-13,-12.0,2.0,15.0,-8.0,1.0,5.0
75954,Switzerland,AG,2020-06-14,-23.0,3.0,-18.0,-15.0,-4.0,5.0
75955,Switzerland,AG,2020-06-15,-9.0,5.0,14.0,-11.0,-17.0,7.0
75956,Switzerland,AG,2020-06-16,-6.0,8.0,25.0,-13.0,-18.0,6.0
75957,Switzerland,AG,2020-06-17,-10.0,5.0,-24.0,-17.0,-18.0,7.0
75958,Switzerland,AG,2020-06-18,-6.0,5.0,3.0,-13.0,-18.0,6.0
75959,Switzerland,AG,2020-06-19,-10.0,4.0,4.0,-16.0,-18.0,6.0
75960,Switzerland,AG,2020-06-20,-10.0,1.0,40.0,0.0,2.0,2.0
75961,Switzerland,AG,2020-06-21,-7.0,15.0,65.0,7.0,1.0,0.0
75962,Switzerland,AG,2020-06-22,-7.0,2.0,34.0,-10.0,-19.0,5.0
75963,Switzerland,AG,2020-06-23,-7.0,4.0,67.0,-10.0,-20.0,4.0
75964,Switzerland,AG,2020-06-24,-8.0,7.0,46.0,-9.0,-17.0,3.0
75965,Switzerland,AG,2020-06-25,-1.0,11.0,38.0,-4.0,-17.0,3.0
75966,Switzerland,AG,2020-06-26,-5.0,8.0,16.0,-8.0,-16.0,4.0
75967,Switzerland,AG,2020-06-27,-6.0,4.0,43.0,5.0,1.0,0.0
75968,Switzerland,AG,2020-06-28,-10.0,13.0,17.0,-2.0,0.0,1.0
75969,Switzerland,AG,2020-06-29,2.0,9.0,20.0,-4.0,-15.0,5.0
75970,Switzerland,AG,2020-06-30,3.0,9.0,82.0,-5.0,-15.0,4.0
75971,Switzerland,AG,2020-07-01,0.0,10.0,50.0,-8.0,-14.0,3.0
75972,Switzerland,AG,2020-07-02,5.0,12.0,17.0,-6.0,-15.0,5.0
75973,Switzerland,AG,2020-07-03,-1.0,10.0,31.0,-11.0,-19.0,5.0
75974,Switzerland,AG,2020-07-04,-8.0,1.0,73.0,1.0,-1.0,0.0
75975,Switzerland,AG,2020-07-05,-4.0,13.0,59.0,6.0,-3.0,-2.0
75976,Switzerland,AG,2020-07-06,2.0,6.0,35.0,-11.0,-25.0,5.0
75977,Switzerland,AG,2020-07-07,0.0,6.0,75.0,-11.0,-25.0,4.0
75978,Switzerland,AG,2020-07-08,-5.0,2.0,57.0,-13.0,-23.0,3.0
75979,Switzerland,AG,2020-07-09,-3.0,3.0,49.0,-12.0,-25.0,3.0
75980,Switzerland,AG,2020-07-10,-11.0,2.0,38.0,-18.0,-26.0,5.0
75981,Switzerland,AG,2020-07-11,-8.0,0.0,28.0,-8.0,-5.0,1.0
75982,Switzerland,AG,2020-07-12,-6.0,7.0,62.0,5.0,-3.0,-3.0
75983,Switzerland,AG,2020-07-13,-4.0,2.0,57.0,-14.0,-29.0,4.0
75984,Switzerland,AG,2020-07-14,-5.0,1.0,82.0,-16.0,-29.0,4.0
75985,Switzerland,AG,2020-07-15,-6.0,0.0,14.0,-21.0,-27.0,6.0
75986,Switzerland,AG,2020-07-16,-3.0,1.0,10.0,-21.0,-29.0,6.0
75987,Switzerland,AG,2020-07-17,-10.0,-1.0,23.0,-21.0,-29.0,6.0
75988,Switzerland,AG,2020-07-18,-18.0,-9.0,67.0,-7.0,-6.0,-1.0
