index,index,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
0,24117,HKG,Asia,Hong Kong,2021-01-06,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,25183.0,3.359,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
1,24118,HKG,Asia,Hong Kong,2021-01-07,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
2,24119,HKG,Asia,Hong Kong,2021-01-08,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
3,24120,HKG,Asia,Hong Kong,2021-01-09,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
4,24121,HKG,Asia,Hong Kong,2021-01-10,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
5,24122,HKG,Asia,Hong Kong,2021-01-11,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,5753994.0,5879.0,767.507,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
6,24123,HKG,Asia,Hong Kong,2021-01-12,138044.0,1146.0,868.7139999999999,3422.0,16.0,12.429,13937.351,115.704,87.708,345.496,1.615,1.255,1.07,5300.0,63.258,24526.0,375.74199999999996,103.991,9.977,2324.214,27.741,6168673.0,5879.0,822.82,0.32799999999999996,34557.0,4.609,0.165,6.1,tests performed,123347.0,16012.0,7522.0,1.18,722.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,16.0,240.208,8.33,2.0,23.1,84.169,0.7,84.86,0.9329999999999999
7,46796,WSM,Oceania,Samoa,2021-01-15,2.0,0.0,0.0,2.0,0.0,0.0,10.08,0.0,0.0,18.027,0.0,0.0,0.57,1065.0,55.36,3770.0,369.727,19.332,3.5660000000000003,5310.204000000001,276.031,804337.0,5538.0,62.1,0.428,4723.0,0.365,0.053,18.9,samples tested,1000000.0,39712.0,18182.0,0.69,125.0,35.19,198410.0,69.413,22.0,5.606,3.5639999999999996,6021.557,56.0,348.977,9.21,16.7,38.1,87.20200000000001,2.6,73.32,0.713
8,28531,JOR,Asia,Jordan,2021-01-15,312851.0,808.0,1098.286,4121.0,14.0,18.857,30662.228,79.191,107.64200000000001,403.895,1.3719999999999999,1.848,0.82,2615.0,43.25,26042.0,430.718,29.198,5.912999999999999,3948.68,65.309,3534673.0,19541.0,346.43,1.915,23483.0,2.302,0.047,21.4,tests performed,1282184.0,20996.0,41012.0,2.12,678.0,81.48,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,11.2,33.7,66.425,1.4,74.53,0.735
9,326,AFG,Asia,Afghanistan,2021-01-15,53831.0,56.0,71.286,2324.0,10.0,9.571,1382.8229999999999,1.439,1.831,59.699,0.257,0.24600000000000002,0.48,,,,,,,,,,,,,,,,,,,,,,,12.04,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
10,6564,BTN,Asia,Bhutan,2021-01-15,837.0,3.0,9.429,1.0,0.0,0.0,1084.742,3.888,12.219000000000001,1.296,0.0,0.0,1.0,371.0,32.010999999999996,1955.0,168.685,2838.847,244.947,909.5239999999999,78.477,7656097.0,35840.0,660.6,3.092,41871.0,3.613,0.053,18.9,tests performed,141758.0,15430.0,11419.0,1.22,985.0,81.94,771612.0,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,0.6,12.3,79.807,1.7,71.78,0.612
